identity_key,canonical_name,brand,address,corridor,review_state,pets_allowed,pet_fee,fee_currency,fee_basis,fee_structure,fee_cap,weight_limit,pet_count_limit,species_allowed,withheld_fields,warnings,proposed_decision,founder_decision,source_url,document_sha256,record_hash
holiday inn express milwaukee west medical center,Holiday Inn Express Milwaukee-West Medical Center,IHG,"11111 West North Avenue, Wauwatosa, WI, 53226",milwaukee-wi__wauwatosa-west-allis,FOUNDER_REVIEW_READY,True,,,,,,"{""unit"": ""lb"", ""value"": 40.0}",2,,pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.ihg.com/holidayinnexpress/hotels/us/en/wauwatosa/mkeex/hoteldetail,51b7904f63092ee198191a2239eff034a62a1ee61133db0adba8e0b327b989df,sha256:b86f15ca8384c49776616168c1cc59003160fcd3fb9fbdd568e43b0881ec8e0b
holiday inn milwaukee riverfront,Holiday Inn Milwaukee Riverfront,IHG,"4700 N. Port Washington Road, Milwaukee, WI, 53212",milwaukee-wi__milwaukee-north-shore,FOUNDER_REVIEW_READY,True,7500,USD,per_night,,,"{""unit"": ""lb"", ""value"": 50.0}",2,"[""dog""]",,,APPROVE,,https://www.ihg.com/holidayinn/hotels/us/en/milwaukee/mkehi/hoteldetail,688cc10c55b4a005d9e0c0ac3bac59315e5d58f538ce594ac29c8f6fc6063d19,sha256:89eb9ed26328bf6822f00fce6cb6f76cd549ee3f9a2b956ef69fdd201f1a88f0
home2 suites by hilton menomonee falls milwaukee,Home2 Suites by Hilton Menomonee Falls Milwaukee,HILTON,"N91 W15851 Falls Parkway, Menomonee Falls, WI, 53051",milwaukee-wi__menomonee-falls-germantown,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $50.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,"{""unit"": ""lb"", ""value"": 100.0}",2,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkemfht-home2-suites-menomonee-falls-milwaukee/,9cf2100a4b490d5427f71036ee02bc5ef2b2fb8288f1e0f74e91e40302f69939,sha256:a21352671d69420e303d1452dbe3e0d1f3838b1037e4353a355e6fab992c2896
home2 suites by hilton milwaukee airport,Home2 Suites by Hilton Milwaukee Airport,HILTON,"5880 South Howell Avenue, Milwaukee, WI, 53207",milwaukee-wi__milwaukee-airport-south,FOUNDER_REVIEW_READY,True,7500,USD,,,,,,,fee_basis=SOURCE_SILENT,fee_basis withheld: SOURCE_SILENT,APPROVE,,https://www.hilton.com/en/hotels/mkeaiht-home2-suites-milwaukee-airport/,8308fa3b0af60a7f74edab98c2a7ddff464ef58df8547fbfb6b5ba01a4abebfe,sha256:0e89e66cd6ae38c21d5314d0ded4edd61cd6e1e9b35b2d04b2651031b3ed09f8
home2 suites by hilton milwaukee brookfield,Home2 Suites by Hilton Milwaukee Brookfield,HILTON,"650 Larry Court, Waukesha, WI, 53186",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,"{""unit"": ""lb"", ""value"": 100.0}",2,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkebrht-home2-suites-milwaukee-brookfield/,859f3f93877765481a475e1c2ecb60acf420080a8decd5b907035d388bcf5d91,sha256:ca4091a9d66ee3f67f1a98c8a568b188069db9f1121f891eb2b00334b3e27940
home2 suites by hilton milwaukee downtown,Home2 Suites by Hilton Milwaukee Downtown,HILTON,"515 N Jefferson St, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 per_stay | nights 5+: $125.00 per_stay,,"{""unit"": ""lb"", ""value"": 75.0}",,,,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkesuht-home2-suites-milwaukee-downtown/,158a8dc98d48aa7f8ec4d642f31b7c1c04756ed3f2fade2d6244c31e240202a7,sha256:d387004628f90ab450242d8cad0cfc79fc0aa9dbe41c4cbcd65018972109422c
home2 suites by hilton milwaukee west,Home2 Suites by Hilton Milwaukee West,HILTON,"1212 S. 70th Street, West Allis, WI, 53214",milwaukee-wi__wauwatosa-west-allis,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,"{""unit"": ""lb"", ""value"": 100.0}",2,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkemwht-home2-suites-milwaukee-west/,5c85d3d536c985c931c2b98331d74a84ee89545802f532e8adbd00e111f5a2a6,sha256:b3c96491a222766f967328c7eb3c3d549dd8423a3332823bbc159c5508b2ce59
homewood suites by hilton milwaukee downtown,Homewood Suites by Hilton Milwaukee Downtown,HILTON,"500 N. Water Street, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,,,,,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkedohw-homewood-suites-milwaukee-downtown/,a99029c21d4b3a4ec50bed259225163dd62cef270cf95211c16b1670cebc0807,sha256:1f0272bd78bb8e9529a31d549b55cfe82fee1d8a9c4a76198cb3cc61b897df7a
homewood suites by hilton oak creek milwaukee,Homewood Suites by Hilton Oak Creek Milwaukee,HILTON,"1900 W. Creekside Crossing Circle, Oak Creek, WI, 53154",milwaukee-wi__oak-creek-franklin,FOUNDER_REVIEW_READY,True,,,,nights 1-1: $50.00 per_stay | nights 2-4: $75.00 per_stay | nights 5+: $125.00 per_stay,,"{""unit"": ""lb"", ""value"": 75.0}",2,"[""cat"", ""dog""]",,priced in 3 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkehohw-homewood-suites-oak-creek-milwaukee/,cf0f2afaa560e9fb43c445f921650fd129744726754f2686be3d936535b775dc,sha256:5cc8e13dead4bf8a27150f15f0951f31d1a4fd40504476958cacaf9010a6d8d8
homewood suites by hilton wauwatosa milwaukee,Homewood Suites by Hilton Wauwatosa Milwaukee,HILTON,"11320 West Burleigh Street, Wauwatosa, WI, 53222",milwaukee-wi__wauwatosa-west-allis,FOUNDER_REVIEW_READY,True,,,,nights 1-4: $75.00 (basis not stated) | nights 5+: $125.00 (basis not stated),,,,"[""cat"", ""dog""]",,priced in 2 bands; the ladder is the price and no single amount is asserted,APPROVE,,https://www.hilton.com/en/hotels/mkewuhw-homewood-suites-wauwatosa-milwaukee/,eda5b911ca3e3c04688603d02847d323304cb813879cfa92440e130d19ef7f98,sha256:075323f239ec0460fd6bbbbdeee4747048bbff164fd41ec317f0cc591afac160
hotel metro autograph collection,"Hotel Metro, Autograph Collection",MARRIOTT,"411 East Mason Street, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,7500,USD,per_stay,,,"{""unit"": ""lb"", ""value"": 100.0}",2,,,,APPROVE,,https://www.marriott.com/en-us/hotels/mkeak-hotel-metro-autograph-collection/overview/,167c79e627cd5d6d3ebed3c11d2b3f06921726289e712a2bc050e7c932da3559,sha256:0679cdeedeafac8e9531cc0602615f125906be4bb88932adccf2abb40bb820ee
hyatt place milwaukee downtown,Hyatt Place Milwaukee Downtown,HYATT,"800 W. Juneau Avenue, Milwaukee, WI, 53233",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,,,,,,,,"[""dog""]",pet_fee=SOURCE_SILENT,no fee is published; the source states none this reader could represent | pet_fee withheld: SOURCE_SILENT,APPROVE,,https://www.hyatt.com/hyatt-place/en-US/mkezd-hyatt-place-milwaukee-downtown,7e0a0abd9fcee0e5d3a6044508e822aaf4e272282db64a442625547b4e32e098,sha256:5f60053496f70b12fed9212dadd9c62da464099df29db3fa89445bd912352f62
hyatt regency milwaukee,Hyatt Regency Milwaukee,HYATT,"333 West Kilbourn Avenue, Milwaukee, WI, 53203",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,,4000,USD,per_night,,,"{""unit"": ""lb"", ""value"": 150.0}",2,,pets_allowed=SOURCE_SILENT,pets_allowed withheld: SOURCE_SILENT,NEEDS_INDIVIDUAL_REVIEW,,https://www.hyatt.com/hyatt-regency/en-US/mkerm-hyatt-regency-milwaukee,d18341b32e3df9ba5d7675f2f6898df839744bb02c728b3d1e8817a618ec99cf,sha256:71a5e87336ce8c58b8717c7f2c20e3135524c1a7a3d353cf392f13b921bd779f
kimpton journeyman hotel,Kimpton Journeyman Hotel,IHG,"310 E. Chicago Street, Milwaukee, WI, 53202",milwaukee-wi__downtown-milwaukee,FOUNDER_REVIEW_READY,True,0,USD,per_night,,,,,,,,APPROVE,,https://www.ihg.com/kimptonhotels/hotels/us/en/journeyman-hotel-milwaukee-wi/mketj/hoteldetail,91f4788fe5c287ce31a31d59a94b435e15849f79f27bf5108a6094741bf59b84,sha256:9eba11240bd76d4d126f08dc510fe65b1c089c331620c635b98ee5dccc2a1269
la quinta inn and suites by wyndham milwaukee bayshore area,La Quinta Inn & Suites by Wyndham Milwaukee Bayshore Area,WYNDHAM,"5423 N Port Washington Road, Glendale, WI, 53217",milwaukee-wi__milwaukee-north-shore,FOUNDER_REVIEW_READY,True,2500,USD,per_night,,"{""amount_minor"": 7500, ""basis"": ""per_stay"", ""currency"": ""USD""}","{""unit"": ""lb"", ""value"": 75.0}",2,"[""cat"", ""dog""]",,a stated ceiling is carried as fee_cap and is not a price,APPROVE,,https://www.wyndhamhotels.com/laquinta/glendale-wisconsin/la-quinta-milwaukee-bayshore-area/overview,e3d60fd16d5e5a4aceca16beafad905f9abd9c9665cc98fdfe3367b1d3cc32a9,sha256:1b9ea9ba0a9a00fdd7dd5270afda965c94570646921887927f3c4e1f9b890042
la quinta inn and suites by wyndham milwaukee sw new berlin,La Quinta Inn & Suites by Wyndham Milwaukee SW New Berlin,WYNDHAM,"15300 W Rock Ridge Rd., New Berlin, WI, 53151",milwaukee-wi__waukesha-pewaukee,FOUNDER_REVIEW_READY,True,2500,USD,per_night,,"{""amount_minor"": 7500, ""basis"": ""per_stay"", ""currency"": ""USD""}","{""unit"": ""lb"", ""value"": 75.0}",2,"[""cat"", ""dog""]",,a stated ceiling is carried as fee_cap and is not a price,APPROVE,,https://www.wyndhamhotels.com/laquinta/new-berlin-wisconsin/la-quinta-milwaukee-sw-new-berlin/overview,e3d60fd16d5e5a4aceca16beafad905f9abd9c9665cc98fdfe3367b1d3cc32a9,sha256:a11d6187fec8ff25e40b27bb1531a0e0bdaab42f2108a878d09c66724605385c
